Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: VARIABLE | Has Answer: true | Answer: 43
Game Ending: VARIABLE | Has Winner: false | Answer: 43
Game Starting: VARIABLE | Has Answer: true | Answer: 5
Game Ending: VARIABLE | Has Winner: false | Answer: 5
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Trident
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Trident
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Note Block
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Note Block
Game Starting: CLICKABLE | Has Answer: true | Answer: hp1sPGsNzwut
Game Ending: CLICKABLE | Has Winner: false | Answer: hp1sPGsNzwut
Race Starting: FISH | Material: BOWL | Amount: 1
Race Starting: HUNT | Entity: PIG | Amount: 3
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Sleigh, Christmas Cookies, Candy Cane
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Sleigh, Christmas Cookies, Candy Cane
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Cauldron
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Cauldron
Game Starting: UNREVERSE | Has Answer: true | Answer: Saddle
Game Ending: UNREVERSE | Has Winner: false | Answer: Saddle
Race Starting: CRAFT | Material: CRAFTING_TABLE | Amount: 4
Game Starting: TRIVIA | Has Answer: true | Answer: •Netherite
Game Ending: TRIVIA | Has Winner: false | Answer: •Netherite
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Christmas Lights, Tinsel, Hot Cocoa
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Christmas Lights, Tinsel, Hot Cocoa
Race Starting: PLACE | Material: SAND | Amount: 16
Game Starting: FILLOUT | Has Answer: true | Answer: Trident
Game Ending: FILLOUT | Has Winner: false | Answer: Trident
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 17
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 17
Race Starting: FISH | Material: SALMON | Amount: 1
Game Starting: TRIVIA | Has Answer: true | Answer: •Netherite
Game Ending: TRIVIA | Has Winner: false | Answer: •Netherite
Game Starting: FILLOUT | Has Answer: true | Answer: Dispenser
Game Ending: FILLOUT | Has Winner: false | Answer: Dispenser
Race Starting: MINE | Material: NETHERRACK | Amount: 32
